iter	Passed	Remaining
586	5691	4004
587	5701	3994
588	5710	3984
589	5720	3974
590	5729	3964
591	5738	3955
592	5748	3945
593	5758	3936
594	5768	3926
595	5777	3916
596	5787	3906
597	5797	3897
598	5806	3887
599	5816	3877
600	5825	3867
601	5834	3857
602	5843	3847
603	5853	3837
604	5862	3827
605	5872	3818
606	5881	3808
607	5891	3798
608	5900	3788
609	5910	3778
610	5919	3768
611	5929	3759
612	5939	3749
613	5949	3740
614	5958	3730
615	5968	3720
616	5977	3710
617	5987	3700
618	5996	3690
619	6005	3680
620	6015	3671
621	6024	3661
622	6034	3651
623	6044	3641
624	6053	3632
625	6062	3622
626	6071	3611
627	6081	3602
628	6091	3592
629	6100	3582
630	6110	3573
631	6119	3563
632	6129	3553
633	6139	3544
634	6148	3534
635	6158	3524
636	6167	3514
637	6176	3504
638	6185	3494
639	6195	3484
640	6204	3474
641	6213	3465
642	6222	3454
643	6232	3445
644	6242	3435
645	6250	3425
646	6260	3415
647	6269	3405
648	6279	3395
649	6288	3385
650	6297	3376
651	6306	3366
652	6316	3356
653	6325	3346
654	6334	3336
655	6345	3327
656	6355	3317
657	6365	3308
658	6374	3298
659	6383	3288
660	6393	3278
661	6402	3269
662	6413	3259
663	6423	3250
664	6433	3240
665	6443	3231
666	6453	3221
667	6463	3212
668	6473	3202
669	6483	3193
670	6492	3183
671	6502	3173
672	6512	3164
673	6522	3154
674	6531	3144
675	6540	3134
676	6550	3125
677	6559	3115
678	6569	3105
679	6578	3095
680	6588	3086
681	6598	3076
682	6608	3067
683	6617	3057
684	6627	3047
685	6636	3037
686	6646	3027
687	6655	3018
688	6664	3008
689	6674	2998
690	6683	2988
691	6693	2979
692	6703	2969
693	6712	2959
694	6722	2949
695	6731	2940
696	6741	2930
697	6750	2920
698	6760	2911
699	6770	2901
700	6779	2891
701	6789	2881
702	6798	2872
703	6807	2862
704	6817	2852
705	6827	2843
706	6836	2833
707	6846	2823
708	6855	2813
709	6865	2804
710	6874	2794
711	6884	2784
712	6893	2774
713	6903	2765
714	6912	2755
715	6922	2745
716	6931	2735
717	6940	2725
718	6950	2716
719	6959	2706
720	6969	2696
721	6979	2687
722	6989	2677
723	6999	2668
724	7008	2658
725	7018	2648
726	7027	2639
727	7037	2629
728	7047	2619
729	7056	2609
730	7066	2600
731	7076	2590
732	7085	2581
733	7096	2571
734	7105	2561
735	7115	2552
736	7125	2542
737	7135	2533
738	7145	2523
739	7154	2513
740	7164	2504
741	7173	2494
742	7182	2484
743	7191	2474
744	7201	2464
745	7211	2455
746	7220	2445
747	7229	2435
748	7239	2426
749	7249	2416
750	7259	2406
751	7268	2396
752	7277	2387
753	7287	2377
754	7297	2368
755	7306	2358
756	7316	2348
757	7325	2338
758	7335	2329
759	7345	2319
760	7355	2309
761	7365	2300
762	7374	2290
763	7383	2280
764	7392	2270
765	7402	2261
766	7412	2251
767	7421	2242
768	7432	2232
769	7441	2222
770	7450	2212
771	7461	2203
772	7471	2194
773	7480	2184
774	7490	2174
775	7499	2164
776	7508	2155
777	7518	2145
778	7527	2135
779	7536	2125
780	7546	2115
781	7554	2106
782	7563	2096
783	7572	2086
784	7581	2076
785	7590	2066
786	7600	2057
787	7610	2047
788	7619	2037
789	7628	2027
790	7637	2017
791	7646	2008
792	7657	1998
793	7666	1989
794	7676	1979
795	7687	1970
796	7696	1960
797	7705	1950
798	7714	1940
799	7724	1931
800	7733	1921
801	7743	1911
802	7752	1901
803	7761	1892
804	7770	1882
805	7780	1872
806	7789	1862
807	7799	1853
808	7808	1843
809	7817	1833
810	7826	1824
811	7836	1814
812	7845	1804
813	7854	1794
814	7862	1784
815	7872	1775
816	7882	1765
817	7891	1755
818	7900	1746
819	7910	1736
820	7919	1726
821	7928	1716
822	7937	1707
823	7947	1697
824	7956	1687
825	7965	1678
826	7975	1668
827	7984	1658
828	7993	1648
829	8002	1639
830	8011	1629
831	8021	1619
832	8029	1609
833	8038	1600
834	8048	1590
835	8058	1580
836	8067	1571
837	8076	1561
838	8086	1551
839	8095	1541
840	8104	1532
841	8113	1522
842	8123	1512
843	8132	1503
844	8141	1493
845	8151	1483
846	8160	1474
847	8169	1464
848	8179	1454
849	8189	1445
850	8199	1435
851	8209	1426
